"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAUSA300_RS00245",4216.39361915593,0.167453993750277,0.193807478481785,0.864022353843352,0.387575610831468,0.434135038211354
"SAUSA300_RS15870",15.8699615315088,-0.788727329657166,0.773537693001193,-1.01963658241015,0.307900848535527,0.352155327172759
"SAUSA300_RS00250",394.910923794317,-0.315148251508935,0.255736602784911,-1.23231578146048,0.21783114689331,0.25731189723436
"SAUSA300_RS00255",100.142846531413,-0.0215569091085644,0.288164486091079,-0.0748076537847588,0.94036775204444,0.951546475321626
"SAUSA300_RS00260",182.848457316288,0.369028385909326,0.229525404545926,1.60778884864349,0.107881431561974,0.133438547449399
"SAUSA300_RS00265",286.917322144403,0.638957522406237,0.22139437003598,2.88606039215178,0.00390097294770886,0.0057733577503236
"SAUSA300_RS00275",1164.86388712732,0.164015945887097,0.150050872527577,1.09306892472053,0.274363538698965,0.317024755329244
"SAUSA300_RS16055",1.41253423460069,0.539397228525282,2.05915861833012,0.261950305199269,0.793359755350183,0.820525608534118
"SAUSA300_RS00280",15963.8938494839,6.10249314351711,0.202884196095076,30.0787013526542,9.20351089736836e-199,6.01224700249017e-197
"SAUSA300_RS00285",62.515314541892,3.96554137211812,0.420143265548159,9.43854560406745,3.77989368349585e-21,1.31897159713538e-20
"SAUSA300_RS00290",184.182439266777,3.16900915309642,0.253030317716469,12.5242270637601,5.50247822856366e-36,3.00709364669948e-35
"SAUSA300_RS00295",52.0658184409674,1.65786609950192,0.387407971635237,4.27938044874018,1.87414271979688e-05,3.34039777913035e-05
"SAUSA300_RS00300",61.0605897195608,1.60910034627787,0.363990730987835,4.42071791748908,9.83735226176683e-06,1.78357897808344e-05
"SAUSA300_RS00310",1308.72350204938,2.64496715564725,0.166664781430537,15.8699824458692,1.02269485165837e-56,9.11984075653444e-56
"SAUSA300_RS00315",1002.6818640028,2.75693360144659,0.185568289367362,14.8567064493913,6.29444987007125e-50,4.7402438833861e-49
"SAUSA300_RS00320",264.785863400466,2.63908818311779,0.21183052288906,12.4584887348833,1.25730658695534e-35,6.75291434561674e-35
"SAUSA300_RS00325",797.168428440723,1.39479721776909,0.168521224720267,8.27668574142134,1.26650889576751e-16,3.82951936298272e-16
"SAUSA300_RS00330",2135.31272605482,-0.305543160963701,0.154722613164869,-1.97478025166316,0.0482930910816608,0.0630661519518295
"SAUSA300_RS00335",114.761076122188,1.49907528562206,0.313452921475315,4.78245753322838,1.73164978447198e-06,3.29776558954697e-06
"SAUSA300_RS00340",3249.79599576456,2.49306075475637,0.238224506065871,10.4651733607415,1.24847793303145e-25,5.01713092115214e-25
"SAUSA300_RS14985",1469.34095859605,-0.156382703975391,0.149207228256992,-1.04809067095624,0.294596834047794,0.338316642207789
"SAUSA300_RS00355",3371.07492204445,3.51593811030651,0.173064206254123,20.3158017848231,9.32154836932507e-92,1.57736321502615e-90
"SAUSA300_RS00360",730.29333733163,0.685838698865234,0.159731331077398,4.29370176933483,1.7571847516812e-05,3.13748512908905e-05
"SAUSA300_RS00365",526.313900815461,1.57528820367621,0.179999900977485,8.75160594601244,2.10337746960177e-18,6.7601685493265e-18
"SAUSA300_RS00370",2538.07062868656,2.6616279435425,0.148318504131176,17.9453532054807,5.21777883300243e-72,6.18427879405224e-71
"SAUSA300_RS00375",1819.26939916657,2.8279601575245,0.142370435005486,19.8633947941196,8.44076745083231e-88,1.31722865385489e-86
"SAUSA300_RS00380",1385.0062430141,2.54649137136654,0.147328215405214,17.284478498315,6.15757363950973e-67,6.65254782822417e-66
"SAUSA300_RS00385",910.165806923668,1.99796506000269,0.173434496083692,11.5199980691186,1.0461334346587e-30,4.98911514084261e-30
"SAUSA300_RS00390",521.269614730744,1.19028326820892,0.17234039551737,6.90658312948432,4.96466062668932e-12,1.23742073650136e-11
"SAUSA300_RS00395",149364.6721176,6.06497206919222,0.152039096620073,39.8908715193689,0,0
"SAUSA300_RS00400",49427.7068045443,6.16637585221049,0.15565164573897,39.6165156040277,0,0
"SAUSA300_RS00405",54.5052858682155,1.86051735912993,0.377120184800989,4.93348654915343,8.07746071265296e-07,1.57895526387211e-06
"SAUSA300_RS00410",30.2482320920517,2.07842934463814,0.514438056652171,4.04019360108002,5.34070964623544e-05,9.20936365639985e-05
"SAUSA300_RS00415",2170.04601745067,1.03003865209586,0.17283416262873,5.9596935954642,2.52711318339989e-09,5.75256153336329e-09
"SAUSA300_RS00425",77.2144407013843,0.382707916710081,0.333304396750829,1.14822342711604,0.250876340454882,0.292897606125421
"SAUSA300_RS00430",410.166685603343,0.723619193697688,0.224063195092318,3.22953171046028,0.00123993129990406,0.00192429117206106
"SAUSA300_RS00435",105.604213661826,1.05767572120146,0.329594281053266,3.2090232810518,0.00133186707258853,0.00206127526551029
"SAUSA300_RS00440",2341.2869542985,4.8738360752208,0.200345914197691,24.3271049211992,1.01306460344227e-130,3.27091778283832e-129
"SAUSA300_RS00445",4103.75266806798,5.09344330879716,0.18292588183156,27.8443009693251,1.26264941894737e-170,6.69204192042107e-169
"SAUSA300_RS00460",2186.9093089225,-2.33249280806062,0.146183621856329,-15.9559106447166,2.59165673936617e-57,2.32586702264523e-56
"SAUSA300_RS00465",48.7075029279609,-1.4603846179805,0.387669360739762,-3.76708805460857,0.000165162758646142,0.0002756638081028
"SAUSA300_RS00470",154.524036037636,-1.17805529907946,0.278889207819289,-4.22409783544867,2.39899824696784e-05,4.23556635809721e-05
"SAUSA300_RS00475",256.230765903952,-2.08307097364099,0.263245470780587,-7.9130363286562,2.51186019853149e-15,7.23673363864099e-15
"SAUSA300_RS00485",674.211344298205,2.2132672080839,0.164782327178015,13.4314598293839,3.95536492089137e-41,2.4101128118837e-40
"SAUSA300_RS00490",63.4855611145032,-0.985188260725922,0.481540606607825,-2.04590899958781,0.0407653247406974,0.0536848556946175
"SAUSA300_RS00495",140.737768959211,-1.15103360456674,0.263594871639482,-4.36667677716054,1.26151194125581e-05,2.27298719883744e-05
"SAUSA300_RS00500",216.83367300749,-1.80468245213353,0.22883640955461,-7.88634315512127,3.11170214176806e-15,8.92826487867874e-15
"SAUSA300_RS00505",920.860356562049,-1.02989087304407,0.169240261629418,-6.08537745763594,1.1621718470251e-09,2.68465519596506e-09
"SAUSA300_RS00510",325.394653645901,-1.05739279735112,0.203615162478137,-5.19309458334005,2.06827040643894e-07,4.1978118292536e-07
"SAUSA300_RS00515",101.297000882948,-2.2152061771178,0.453509931551915,-4.88458140164064,1.03648816097602e-06,2.00240388183057e-06
"SAUSA300_RS00520",55.0211750133826,-1.02164126113938,0.457544808471834,-2.23287696029508,0.0255570593242631,0.0343656197423911
"SAUSA300_RS00525",126.598655193682,-0.906483171099565,0.41992846605507,-2.15866092531266,0.0308764823411623,0.0412616740705637
"SAUSA300_RS00530",117.822634265527,-0.747905813857481,0.335194080781798,-2.23126199637263,0.0256637794647329,0.0344926107734138
"SAUSA300_RS00535",138.990285177538,-0.976259368771956,0.292785910623683,-3.33437960417002,0.000854899005059546,0.00134232046127013
"SAUSA300_RS00540",1561.9733040923,-0.476811797978832,0.139997577292573,-3.40585749553631,0.000659565970964079,0.00104791901156001
"SAUSA300_RS00545",447.170614324875,2.02042693366375,0.221451043330635,9.12358281666424,7.26809205205986e-20,2.45090883244131e-19
"SAUSA300_RS00550",661.758433604805,2.17124828847622,0.19916310819282,10.9018598282475,1.12925149691494e-27,4.83546868114951e-27
"SAUSA300_RS00555",1594.10796697794,-3.1462555566236,0.195497210282882,-16.0936084564634,2.82859719698629e-58,2.57971737868003e-57
"SAUSA300_RS00560",357.736376933305,-0.143676828464646,0.185573743143192,-0.77423037349515,0.438794569602703,0.485647732866033
"SAUSA300_RS00565",40.5324474162292,-1.34955113732996,1.63795949978225,-0.823922165053147,0.40998378530488,0.455916252146243
"SAUSA300_RS00570",80.6445280224423,-2.0662576787287,1.32438781125579,-1.56016059734759,0.118721934447011,0.145947445891315
"SAUSA300_RS00575",126.796585419106,-0.93879803122131,0.275599934958867,-3.40637972705409,0.000658305484434603,0.00104650826586123
"SAUSA300_RS00580",2641.85400937249,-1.90986488214119,0.16320533364766,-11.7022209964311,1.24160653537744e-31,6.06551783978303e-31
"SAUSA300_RS00585",54847.5775932023,-1.55031607088245,0.172383812960173,-8.99339702644023,2.39704474616663e-19,7.88442469787127e-19
"SAUSA300_RS00590",3241.77738183039,-1.11061377201135,0.153978092765592,-7.21280379607043,5.48113653872259e-13,1.42165397389397e-12
